7zip 26.02-1
linux-firmware-amdgpu 20260622-1
linux-firmware-mediatek 20260622-1
linux-firmware-nvidia 20260622-1
linux-firmware-other 20260622-1
linux-firmware-realtek 20260622-1
linux-firmware-whence 20260622-1
linux-headers 7.1.4.arch1-1
litehtml0.9 0.9-2
lksctp-tools 1.0.21-1
lld 22.1.8-1
lld20 20.1.8-1
lld21 21.1.8-1
lldb 22.1.8-1
llhttp 9.3.1-1
llvm 22.1.8-2
llvm-libs 22.1.8-2
llvm20-libs 20.1.8-1
llvm21-libs 21.1.8-1
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
lostfiles 5.1-1
lpsolve 5.5.2.14-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lua 5.5.0-2
lua-argparse 0.7.2-1
lua-filesystem 1.9.0-3
lua-language-server 3.18.2-1
lua-lpeg 1.1.0-5
lua-luarocks 3.13.0-5
lua51 5.1.5-13
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
lua54-argparse 0.7.2-1
lua54-filesystem 1.9.0-3
luacheck 1.2.0-4
luajit 2.1.1784580905+2460b3f-1
luarocks 3.13.0-5
lutris 0.5.22-2
lv2 1.18.10-2
lvm2 2.03.41-1
lxappearance 0.6.4-3
ly 1.4.1-1
lz4 1:1.10.0-2
lzip 1.26-1
lzo 2.10-5
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-2
man-pages 6.18-1
mangohud 0.8.4-1
matugen-git 4.1.0.r51.g8bd2f68-1
maturin 1.14.1-1
mbedtls 3.6.5-1
md4c 0.5.3-1
mdadm 4.6-2
mediainfo 26.05-1
mercurial 7.2.3-1
mergiraf 0.18.0-1
mermaid-cli 11.16.0-1
mesa 1:26.1.5-1
mesa-utils 9.0.0-7
meson 1.11.2-1
mimalloc 3.4.3-1
minecraft-launcher 1:2.1.3-3
minizip 1:1.3.2-3
mise 2026.7.10-1
mjpegtools 2.2.1-4
mkinitcpio 41-4
mkinitcpio-busybox 1.36.1-1
mobile-broadband-provider-info 20251101-1
modprobed-db 2.50-1
mold 2.41.0-1
moreutils 0.70-1
mosquitto 2.1.2-2
mpd 0.24.13-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.5-1
mpv 1:0.41.0-3
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.9-1
muparser 2.3.5-2
mypaint-brushes 2.0.2-2
mypaint-brushes1 1.3.1-2
namcap 3.6.0-3
nasm 3.02-1
navi 2.24.0-1
nccl 2.30.7-1
ncspot 1.3.4-1
ncurses 6.6-2
ndctl 85-1
neohtop 1.2.0-1
neon 0.37.1-1
neovide 0.16.2-2
neovim-git 0.13.0.r1102.gf95bd73935-1
nerdctl 2.3.5-1
netavark 2.0.0-1
netpbm 10.86.50-2
netstandard-targeting-pack 1:2.1.0-2
nettle 4.0-1
network-manager-applet 1.36.0-2
networkmanager 1.58.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
niri 26.04-1
nlohmann-json 3.12.0-2
nm-connection-editor 1.36.0-2
nmap 7.99-3
node-gyp 13.0.1-1
nodejs-lts-krypton 24.18.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.1-1
npth 1.8-1
nspr 4.39-1
nss 3.126-1
nss-mdns 0.15.1-2
ntfs-3g 2026.7.7-1
ntfsprogs 2026.7.7-1
numactl 2.0.19-1
nushell 0.114.1-2
nvidia-container-toolkit 1.19.1-1
nvidia-open-dkms 610.43.03-3
nvidia-settings 610.43.03-1
nvidia-utils 610.43.03-3
nvm 0.40.5-1
nvtop 3.3.2-1
nwg-look 1.1.1-3
obs-studio-git 32.1.2.r179.g7546be7-1
obsidian 1.12.7-3
ocl-icd 2.3.4-1
ollama 0.32.2-1
ollama-cuda 0.32.2-1
onednn 3.11.3-1
onetbb 2023.1.0-1
oniguruma 6.9.10-1
openal 1.25.2-1
openblas 0.3.34-1
opencl-nvidia 610.43.03-3
opencode-bin 1.18.4-1
opencore-amr 0.1.6-2
opencv-cuda 5.0.0-7
openexr 3.4.13-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.30.1-1
openmp 22.1.8-1
openmpi 5.0.10-3
openpmix 5.0.11-1
openrazer-daemon 3.12.2-2
openrazer-driver-dkms 3.12.2-2
openrgb 1.0rc3-1
openssh 10.4p1-3
openssl 3.6.3-1
openucx 1.20.1-2
openvpn 2.7.5-1
opus 1.6.1-1
opusfile 0.12-4
orc 0.4.42-1
ostree 2026.2-1
otf-font-awesome 7.3.1-1
otf-font-awesome-4 4.7.0-7.1
p11-kit 0.26.4-1
pacman 7.1.0.r9.g54d9411-2
pacman-contrib 1.13.1-1
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pamixer 1.6-4
pandoc-bin 3.10.1-1
pango 1:1.58.0-1
pangomm 2.46.5-1
pangomm-2.48 2.56.2-1
papirus-icon-theme 20250501-1
parallel 20260622-1
parsec-bin 150_104a-1
parted 3.7-1
paru-git 2.1.0.r67.g9ac3578-1
pass 1.7.4-7
passt 2026_07_16.090d739-1
patch 2.8-1
patchelf 0.19.1-1
pavucontrol 1:6.2-1
pcaudiolib 1.3-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
pcsx2-git 2.7.492.r0.g66c0771-1
perf 7.1.4-1
perl 5.42.2-1
perl-clone 0.50-1
perl-curses 1.46-1
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-file-listing 6.16-6
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.03-1
perl-http-negotiate 6.01-16
perl-io-html 1.004-8
perl-io-tty 1.31-1
perl-ipc-run 20260402.0-1
perl-json 4.11-1
perl-libwww 6.83-1
perl-lwp-mediatypes 6.04-8
perl-mailtools 2.22-3
perl-mime-base32 1.303-13
perl-net-http 6.24-2
perl-term-animation 2.6-14
perl-time-duration 1:1.21-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.35-1
perl-www-robotrules 6.03-1
pfetch-rs 2.11.1-2
pinentry 1.3.3-1
pinta 3.1.2-1
piper-tts-git 1:1.6.0.r0.gf04d52c-1
pipewire 1:1.6.8-1
pipewire-alsa 1:1.6.8-1
pipewire-audio 1:1.6.8-1
pipewire-jack 1:1.6.8-1
pipewire-pulse 1:1.6.8-1
pipewire-v4l2 1:1.6.8-1
pixman 0.46.4-1
pkcs11-helper 1.31.0-1
pkgconf 3.0.3-1
playerctl 2.4.1-5
plocate 1.1.24-1
plutosvg 0.0.8-1
plutovg 1.3.3-1
pnpm 11.3.0-1
podman 6.0.1-1
polkit 127-3
polkit-gnome 0.105-12
polkit-kde-agent 6.7.3-1
polkit-qt6 0.201.1-1
polybar 3.7.2-2
polychromatic 0.9.7-1
poppler 26.07.0-1
poppler-data 0.4.12-2
poppler-glib 26.07.0-1
popt 1.19-2
portaudio 1:19.7.0-4
portmidi 1:2.0.8-1
pps-tools 1.0.3-2
probe-rs 0.31.0-2
procps-ng 4.0.6-3
procs 0.14.12-1
protobuf 35.1-1
protonplus 0.5.21-1
protontricks 1.14.1-1
prrte 3.0.14-1
psmisc 23.7-2
pugixml 1.16-1
pyalpm 0.11.1-1
pybind11 3.0.4-1
python 3.14.6-1
python-aiohappyeyeballs 2.6.1-4
python-aiohttp 3.13.5-1
python-aiosignal 1.4.0-3
python-annotated-doc 0.0.4-2
python-annotated-types 0.7.0-3
python-anyio 4.14.2-1
python-appdirs 1.4.4-12
python-argcomplete 3.7.0-1
python-asgiref 3.11.1-1
python-asttokens 3.0.1-1
python-asyncpg 0.31.0-3
python-attrs 26.1.0-1
python-autocommand 2.2.2-9
python-babel 2.18.0-1
python-beautifulsoup4 4.15.0-1
python-binaryornot 0.6.0-1
python-boolean.py 5.0-2
python-boto3 1.42.91-1
python-botocore 1.42.91-1
python-bowler 0.9.0-10
python-brotli 1.2.0-1
python-build 1.4.3-1
python-cachecontrol 1:0.14.4-3
python-cachetools 7.1.5-1
python-cachy 0.3.0-12
python-cairo 1.29.0-2
python-certifi 2026.06.17-1
python-cffi 2.1.0-1
python-chardet 6.0.0.post1-1
python-charset-normalizer 3.4.7-1
python-cleo 1:2.1.0-2
python-click 8.3.3-1
python-cloudpickle 3.1.2-2
python-colorama 0.4.6-6
python-colour 0.1.5-16
python-configobj 5.0.9-6
python-contourpy 1.3.3-4
python-coverage 7.13.5-1
python-crashtest 0.4.1-5
python-cryptography 49.0.0-1
python-curl-adapter 1.2.1-2
python-curl_cffi 0.15.0-3
python-cycler 0.12.1-4
python-daemonize 2.5.0-10
python-datasets 5.0.0-1
python-dateutil 2.9.0-8
python-dbus 1.4.0-2
python-debian 1.1.1-1
python-decorator 5.3.1-1
python-dill 0.4.1-1
python-dirty-equals 0.11.0-2
python-distlib 0.4.3-1
python-distro 1.9.0-4
python-dnspython 1:2.8.0-3
python-docopt 0.6.2-15
python-docutils 1:0.23-1
python-dotenv 1.2.2-1
python-dulwich 1.1.0-1
python-editables 0.6-1
python-evdev 1.9.3-1
python-eventlet 0.41.0-1
python-execnet 2.1.2-3
python-executing 2.2.1-3
python-fastapi 0.139.2-1
python-fastbencode 0.3.10-1
python-fastjsonschema 2.21.2-2
python-filelock 3.29.3-1
python-findpython 0.8.0-1
python-fire 0.7.1-2
python-fissix 24.4.24-2
python-flatbuffers 25.12.19-4
python-fonttools 4.63.0-1
python-frozenlist 1.8.0-2
python-fsspec 2026.6.0-1
python-gevent 26.5.0-1
python-gmpy2 2.3.1-1
python-gobject 3.56.3-1
python-greenlet 3.5.1-1
python-h11 0.16.0-2
python-h2 4.3.0-3
python-h5py 3.16.0-1
python-hatch-fancy-pypi-readme 25.1.0-2
python-hatchling 1.30.1-1
python-hf-xet 1.5.2-1
python-hpack 4.2.0-1
python-html5lib 1.1-18
python-httpcore 1.0.9-3
python-httptools 0.8.0-1
python-httpx 0.28.1-7
python-huggingface-hub 1:1.24.0-1
python-hyperframe 6.1.0-2
python-hypothesis 6.157.1-1
python-idna 3.18-1
python-ijson 3.5.0-1
python-imageio 2.37.4-1
python-imageio-ffmpeg 0.6.0-2.1
python-imagesize 2.0.0-1
python-importlib-metadata 9.0.0-1
python-inflect 7.5.0-2
python-iniconfig 2.3.0-1
python-inline-snapshot 0.32.6-1
python-installer 1.0.0-1
python-ipython-pygments-lexers 1.1.1-3
python-jaraco.classes 3.4.0-3
python-jaraco.collections 5.1.0-3
python-jaraco.context 6.1.2-1
python-jaraco.functools 4.1.0-3
python-jaraco.text 4.0.0-4
python-jedi 0.19.2-4
python-jeepney 0.9.0-3
python-jinja 1:3.1.6-3
python-jiter 0.15.0-1
python-jmespath 1.1.0-1
python-jsonschema 4.26.0-1
python-jsonschema-path 0.5.0-1
python-jsonschema-specifications 2025.9.1-2
python-keyring 25.7.0-3
python-keyutils 0.6-12
python-kiwisolver 1.5.0-1
python-lark-parser 1.3.1-2
python-lazy-object-proxy 1.12.0-2
python-license-expression 30.4.4-2
python-linkify-it-py 2.1.0-1
python-lxml 6.1.1-1
python-magic 1:0.4.27-6
python-mako 1.3.12-1
python-markdown 3.10.2-1
python-markdown-it-py 4.2.0-1
python-markupsafe 3.0.3-1
python-matplotlib 3.11.0-1
python-matplotlib-inline 0.2.2-1
python-maturin 1.14.1-1
python-mdurl 0.1.2-9
python-merge3 0.0.16-2
python-moddb 0.15.0-1
python-more-itertools 11.1.0-1
python-moreorless 0.6.0-1
python-mpmath 1.4.1-1
python-msgpack 1.1.2-2
python-msgspec 0.21.1-1
python-multidict 6.7.1-1
python-multiprocess 0.70.19-1
python-nest-asyncio 1.6.0-5
python-networkx 3.6.1-1
python-numpy 2.5.1-1
python-onnxruntime-opt-cuda 1.27.1-2
python-openai 2.45.0-1
python-openapi-schema-validator 0.8.1-1
python-openapi-spec-validator 0.8.4-1
python-opencv 5.0.0-7
python-openrazer 3.12.2-2
python-ordered-set 4.1.0-8
python-packaging 26.2-1
python-pandas 2.3.3-2
python-parso 1:0.8.6-1
python-pathable 0.6.0-1
python-pathspec 1.1.1-1
python-pathvalidate 3.3.1-1.1
python-patiencediff 0.2.19-1
python-pbs-installer 2026.07.18-1
python-pdm-backend 2.4.9-1
python-pefile 2024.8.26-2
python-pexpect 4.9.0-7
python-pillow 12.3.0-1
python-pip 26.1.2-1
python-pipx 1.15.0-1
python-pkg_resources 81.0.0-1
python-pkginfo 1.12.1.2-3
python-platformdirs 4.11.0-1
python-pluggy 1.6.0-3
python-ply 3.11-17
python-poetry 2.4.1-1
python-poetry-core 2.4.1-1
python-poetry-plugin-export 1.10.0-1
python-pooch 1.9.0-1
python-portend 3.2.1-2
python-prometheus_client 0.25.0-1
python-prompt_toolkit 3.0.52-2
python-propcache 0.4.1-2
python-protobuf 35.1-1
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pure-eval 0.2.3-3
python-py-cpuinfo 9.0.0-6
python-pyaml 26.7.0-1
python-pyarrow 24.0.0-1
python-pycparser 3.00-1
python-pycurl 7.47.0-1
python-pydantic 2.13.4-1
python-pydantic-core 3:2.46.4-1
python-pydantic-extra-types 2.11.2-1
python-pydantic-settings 2.14.2-1
python-pyelftools 0.33-1
python-pygame 2.6.1-5
python-pygments 2.20.0-1
python-pyjwt 2.13.0-1
python-pyparsing 3.3.2-1
python-pyperclip 1.11.0-2
python-pyproject-hooks 1.2.0-6
python-pyproject-metadata 0.9.0-3
python-pyqt6 6.11.0-2
python-pyqt6-sip 13.11.1-1
python-pyqt6-webengine 6.11.0-1
python-pytest 1:9.0.3-1
python-pytest-asyncio 1.4.0-1
python-pytest-cov 7.1.0-1
python-pytest-mock 3.14.1-1
python-pytest-xdist 3.8.0-3
python-python-discovery 1.5.0-1
python-pytorch 2.13.0-4
python-pytz 2026.1-1
python-pyudev 0.24.4-1
python-pywayland 0.4.18-3
python-pyxdg 0.28-7
python-pyzmq 27.1.0-2
python-rapidfuzz 3.14.5-1
python-referencing 0.37.0-3
python-regex 2026.7.19-1
python-requests 2.34.2-1
python-requests-toolbelt 1.0.0-6
python-respx 0.23.1-1
python-rfc3339-validator 0.1.4-8
python-rich 15.0.0-1
python-roman-numerals-py 3.1.0-2
python-rpds-py 2026.6.3-1
python-s3transfer 0.16.0-2
python-safetensors 0.7.0-2
python-scapy 2.7.0-1
python-scikit-build 0.19.1-1
python-scipy 1.18.0-1
python-screeninfo 0.8.1-2.2
python-secretstorage 3.5.0-1
python-semantic-version 2.10.0-9
python-sentencepiece 0.2.2-2
python-setproctitle 1.3.7-2
python-setuptools 1:83.0.0-1
python-setuptools-rust 1.13.0-1
python-setuptools-scm 10.2.1-1
python-shellingham 1.5.4-4
python-six 1.17.0-3
python-smartypants 2.0.2-2
python-sniffio 1.3.1-5
python-snowballstemmer 3.1.1-1
python-sortedcontainers 2.4.0-8
python-soundfile 0.14.0-1
python-soupsieve 2.9.1-1
python-sphinx 9.1.0-1
python-sphinx-alabaster-theme 1.0.0-6
python-sphinxcontrib-applehelp 2.0.0-5
python-sphinxcontrib-devhelp 2.0.0-6
python-sphinxcontrib-htmlhelp 2.1.0-5
python-sphinxcontrib-jsmath 1.0.1-21
python-sphinxcontrib-qthelp 2.0.0-5
python-sphinxcontrib-serializinghtml 2.0.0-5
python-sqlalchemy 2.0.51-1
python-srt 3.5.3-3
python-stack-data 0.6.3-5
python-starlette 1.3.1-1
python-sympy 1.14.0-6
python-tabulate 0.10.0-1
python-tempora 5.8.1-2
python-tenacity 9.1.4-1
python-termcolor 3.3.0-1
python-textual 8.2.8-1
python-tomli 2.4.1-1
python-tomli-w 1.2.0-2
python-tomlkit 0.15.1-1
python-torchvision 0.28.0-2
python-tqdm 4.69.0-1
python-traitlets 5.15.1-1
python-triton 3.5.1-4
python-trove-classifiers 2026.6.1.19-1
python-typeguard 4.5.2-1
python-typer 0.27.0-1
python-typing-inspection 0.4.2-2
python-typing_extensions 4.16.0-1
python-typogrify 2.1.0-2
python-uc-micro-py 2.0.0-1
python-urllib3 2.7.0-1
python-urwid 4.0.5-1
python-userpath 1.9.2-4
python-uv 0.11.31-2
python-uvloop 0.22.1-2
python-vcs-versioning 2.2.2-1
python-vdf 4.0-5
python-virtualenv 21.6.1-1
python-volatile 2.1.0-8
python-watchfiles 1.2.0-1
python-wcwidth 0.8.2-1
python-webencodings 0.5.1-13
python-websockets 16.1.1-1
python-wheel 0.47.0-1
python-xdg-base-dirs 6.0.2-2
python-xkbcommon 1.5.1-3
python-xlib 0.33-6
python-xlsxwriter 3.2.9-2
python-xmltodict 1.0.4-1
python-xxhash 3.8.1-1
python-yaml 6.0.3-2
python-yarl 1.23.0-1
python-zipp 3.21.0-4
python-zope-event 6.2-1
python-zope-interface 8.5-1
qalculate-qt 5.12.0-1
qbittorrent 5.2.3-3
qemu-audio-alsa 11.0.2-4
qemu-audio-dbus 11.0.2-4
qemu-audio-jack 11.0.2-4
qemu-audio-oss 11.0.2-4
qemu-audio-pa 11.0.2-4
qemu-audio-pipewire 11.0.2-4
qemu-audio-sdl 11.0.2-4
qemu-audio-spice 11.0.2-4
qemu-base 11.0.2-4
qemu-block-curl 11.0.2-4
qemu-block-dmg 11.0.2-4
qemu-block-nfs 11.0.2-4
qemu-block-ssh 11.0.2-4
qemu-chardev-spice 11.0.2-4
qemu-common 11.0.2-4
qemu-desktop 11.0.2-4
qemu-hw-display-qxl 11.0.2-4
qemu-hw-display-virtio-gpu 11.0.2-4
qemu-hw-display-virtio-gpu-gl 11.0.2-4
qemu-hw-display-virtio-gpu-pci 11.0.2-4
qemu-hw-display-virtio-gpu-pci-gl 11.0.2-4
qemu-hw-display-virtio-gpu-pci-rutabaga 11.0.2-4
qemu-hw-display-virtio-gpu-rutabaga 11.0.2-4
qemu-hw-display-virtio-vga 11.0.2-4
qemu-hw-display-virtio-vga-gl 11.0.2-4
qemu-hw-display-virtio-vga-rutabaga 11.0.2-4
qemu-hw-uefi-vars 11.0.2-4
qemu-hw-usb-host 11.0.2-4
qemu-hw-usb-redirect 11.0.2-4
qemu-hw-usb-smartcard 11.0.2-4
qemu-img 11.0.2-4
qemu-system-x86 11.0.2-4
qemu-system-x86-firmware 11.0.2-4
qemu-ui-curses 11.0.2-4
qemu-ui-dbus 11.0.2-4
qemu-ui-egl-headless 11.0.2-4
qemu-ui-gtk 11.0.2-4
qemu-ui-opengl 11.0.2-4
qemu-ui-sdl 11.0.2-4
qemu-ui-spice-app 11.0.2-4
qemu-ui-spice-core 11.0.2-4
qemu-vhost-user-gpu 11.0.2-4
qhull 2020.2-5
qrcodegencpp-cmake 1.8.0-4
qrencode 4.1.1-4
qsv 21.1.0-1
qt5-base 5.15.19+kde+r96-1
qt5-declarative 5.15.19+kde+r23-1
qt5-graphicaleffects 5.15.19-1
qt5-quickcontrols2 5.15.19+kde+r5-1
qt5-svg 5.15.19+kde+r5-1
qt5-tools 5.15.19+kde+r3-1
qt5-translations 5.15.19-1
qt5-wayland 5.15.19+kde+r55-1
qt5-x11extras 5.15.19-1
qt5ct 1.9-2
qt6-base 6.11.1-1
qt6-declarative 6.11.1-3
qt6-imageformats 6.11.1-1
qt6-location 6.11.1-1
qt6-multimedia 6.11.1-1
qt6-multimedia-ffmpeg 6.11.1-1
qt6-positioning 6.11.1-1
qt6-shadertools 6.11.1-1
qt6-svg 6.11.1-1
qt6-tools 6.11.1-3
qt6-translations 6.11.1-1
qt6-wayland 6.11.1-1
qt6-webchannel 6.11.1-1
qt6-webengine 6.11.1-4
qt6ct 0.11-7
qview 7.1-2
qwen-code 0.19.2-1
rage-encryption 0.12.1-1
rainfrog 0.3.20-1
rapidyaml 0.11.1-2
raptor 2.0.16-9
rasqal 1:0.9.33-9
rate-mirrors 0.29.0-1
rav1e 0.8.1-3
rdma-core 64.0-1
re2 2:2025.11.05-5
read-edid 3.0.2-5
readline 8.3.003-1
redland 1:1.0.17-10
resvg 0.47.0-4
reuse 6.2.0-2
rhash 1.4.6-1
ripgrep 15.2.0-1
rnnoise 1:0.2-1
rofi 2.0.0-1
rpmextract 1.0-11
rqbit 8.1.1-2
rqbit-desktop 8.1.1-2
rsync 3.4.4-1
rtkit 0.14-1
rtmpdump 1:2.6-2
rubberband 4.0.0-2
ruby 3.4.10-1
ruby-abbrev 0.1.2-1
ruby-base64 0.3.0-1
ruby-bigdecimal 3.3.1-2
ruby-bundled-gems 3.4.10-1
ruby-bundler 4.0.3-1
ruby-csv 3.3.5-1
ruby-debug 1.11.1-1
ruby-default-gems 3.4.10-1
ruby-drb 2.2.3-1
ruby-erb 4.0.4.1-1
ruby-getoptlong 0.2.1-1
ruby-irb 1.15.0-1
ruby-matrix 0.4.3-1
ruby-minitest 5.27.0-1
ruby-mutex_m 0.3.0-2
ruby-net-ftp 0.3.9-1
ruby-net-imap 0.5.15-1
ruby-net-pop 0.1.2-5
ruby-net-smtp 0.5.1-1
ruby-nkf 0.3.0-1
ruby-observer 0.1.2-3
ruby-power_assert 2.0.5-4
ruby-prime 0.1.4-1
ruby-racc 1.8.1-2
ruby-rake 13.4.2-1
ruby-rbs 3.9.2-1
ruby-rdoc 6.14.0-1
ruby-repl_type_completor 0.1.15-1
ruby-resolv-replace 0.2.0-1
ruby-rexml 3.4.4-1
ruby-rinda 0.2.0-2
ruby-rss 0.3.3-1
ruby-stdlib 3.4.10-1
ruby-syslog 0.4.0-1
ruby-test-unit 3.7.8-1
ruby-typeprof 0.30.1-2
rubygems 3.6.9-1
ruff 0.16.0-1
runc 1.5.1-1
rust-bindgen 0.72.1-3
rustic 0.11.3-1
rustup 1.29.0-2
rutabaga-ffi 0.1.80-1
s-tui 1.4.0-1
s2n-tls 1.7.2-1
sbc 2.2-1
sbctl 0.18-1
scapy 2.7.0-1
sccache 0.16.0-3
scdoc 1.11.5-1
sd 1.1.0-1
sdbus-cpp 2.3.1-1
sdl2-compat 2.32.70-1
sdl2_image 2.8.12-2
sdl2_mixer 2.8.2-1
sdl2_ttf 2.24.0-2
sdl3 3.4.12-1
seabios 1.17.0-2
seatd 0.9.3-1
sed 4.10-1
semver 7.8.5-1
sentencepiece 0.2.2-2
serd 0.32.10-1
serf 1.3.10-2
shaderc 2026.2-2
shadow 4.19.4.arch1-1
shared-mime-info 2.5.1-2
showmethekey 1.21.0-1
signal-desktop 8.20.0-1
simde 0.8.2-1
simdjson 1:4.6.4-1
skim 5.5.0-1
slang 2.3.3-4
slurp 1.5.0-2
smartmontools 7.5-1
snappy 1.2.2-3
sndio 1.10.0-1
socat 1.8.1.3-1
solaar 1.1.20-2
sord 0.16.22-1
sound-theme-freedesktop 0.8-6
soundtouch 2.4.1-1
source-highlight 3.1.9-18
spandsp 0.0.6-7
spdlog 1.17.0-2
speex 1.2.1-2
speexdsp 1.2.1-2
spice 0.16.0-2
spice-protocol 0.14.5-1
spicetify-cli 2.44.0-3
spicetify-marketplace-bin 1.0.8-1
spirv-llvm-translator 22.1.2-1
spirv-tools 1:1.4.350.1-1
spotify 1:1.2.92.147-1
spotifyd 0.4.2-1
sqlcipher 4.14.0-1
sqlite 3.53.3-1
sqlx-cli 0.9.0-1
squashfs-tools 4.7.5-1
squashfuse 0.6.2-1
sratom 0.6.22-1
srt 1.5.6-1
sshfs 3.7.6-1
starship 1.26.0-1
startup-notification 0.12-9
steam 1.0.0.87-1
steam-devices 1.0.0.87-1
stow 2.4.1-1
stress 1.0.7-3
stylua 2.5.2-1
subversion 1.14.5-5
sudo 1.9.17.p2-6
suitesparse 7.12.2-2
svt-av1 4.2.0-1
svt-hevc 1.5.1-4
swappy 1.8.0-1
sysstat 12.7.9-1
systemd 261.1-1
systemd-libs 261.1-1
systemd-resolvconf 261.1-1
systemd-sysvcompat 261.1-1
systemd-ukify 261.1-1
tabiew 0.14.1-1
taglib 2.3.1-1
tailscale 1.98.9-1
taplo-cli 0.10.0-1
tar 1.35-2
task 3.4.2-1
taskwarrior-tui 0.27.0-1
tcl 8.6.16-1
tcpdump 4.99.6-1
tdb 1.4.15-1
teams-for-linux 2.13.0-1
telegram-desktop 7.0.5-1
television 0.15.9-1
terraform 1.15.8-1
texinfo 7.3-1
thin-provisioning-tools 1.3.3-1
thrift 0.22.0-6
thunar 4.20.9-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
thunderbird 152.0.1-1
tinysparql 3.11.1-1
tinyxml2 11.0.0-2
tk 8.6.16-1
tmux 3.7_b-1
toilet 0.3.r155.3eb9d58-3
tokei 14.0.0-1
tokio-console 0.1.14-2
tomlplusplus 3.4.0-2
tpm2-tss 4.1.3-1
traceroute 2.1.6-1
tre 0.9.0-1
tree 2.3.2-1
tree-sitter 0.26.9-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
tree-sitter-markdown 0.5.3-2
tree-sitter-query 0.8.0-2
tree-sitter-vim 0.8.1-3
tree-sitter-vimdoc 4.1.0-2
trunk 0.21.14-1
tslib 1.24-1
ttf-cascadia-code 2407.24-2
ttf-cascadia-code-nerd 3.4.0-2
ttf-fira-code 6.2-4
ttf-fira-sans 1:4.301-3
ttf-firacode-nerd 3.4.0-2
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-2
ttf-liberation 2.1.5-2
ttf-material-symbols-variable-git 4.0.0.r151.gb676b6a4-1
ttf-mononoki-nerd 3.4.0-2
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-roboto 3.015-1
tumbler 4.20.1-1
twolame 0.4.0-4
ty 0.0.63-1
typos 1.48.0-1
typst 1:0.15.1-2
typstyle 0.15.0-1
tzdata 2026c-1
uchardet 0.0.8-4
udftools 2.3-3
udis86-git 1.7.2.r186.g5336633-1
udiskie 2.6.2-1
udisks2 2.11.1-2
ueberzugpp 2.9.10-1
ufw 0.36.2-7
unibilium 2.1.2-1
unifdef 2.12-4
unixodbc 2.3.14-1
unrar 1:7.2.7-1
unzip 6.0-23
upower 1.91.3-1
usb_modeswitch 2.6.2.20251207-1
usbmuxd 1.1.1-4
usbredir 0.15.0-1
usbutils 019-1
uthash 2.3.0-3
util-linux 2.42.2-1
util-linux-libs 2.42.2-1
uv 0.11.31-2
uvicorn 0.51.0-1
uwsm 0.26.6-1
v4l-utils 1.32.0-2
v4l2loopback-dkms 0.15.4-1
v4l2loopback-utils 0.15.4-1
valgrind 3.25.1-5
vapoursynth 77-2
vde2 2.3.3-9
ventoy-bin 1.1.16-1
verdict 1.4.5-2
vesktop-git 1.6.5.r19.gf115855-1
vid.stab 1.1.1-3
viewnior 1.8-7
vim 9.2.0843-1
vim-runtime 9.2.0843-1
virglrenderer 1.3.0-2
virtiofsd 1.14.0-1
vis 0.9.r463.ge9791c2c-1
vivaldi 8.1.4087.56-1
vkd3d 1.19-1
vlc 3.0.23_2-9
vlc-cli 3.0.23_2-9
vlc-gui-qt 3.0.23_2-9
vlc-plugin-a52dec 3.0.23_2-9
vlc-plugin-alsa 3.0.23_2-9
vlc-plugin-archive 3.0.23_2-9
vlc-plugin-dav1d 3.0.23_2-9
vlc-plugin-dbus 3.0.23_2-9
vlc-plugin-dbus-screensaver 3.0.23_2-9
vlc-plugin-faad2 3.0.23_2-9
vlc-plugin-flac 3.0.23_2-9
vlc-plugin-gnutls 3.0.23_2-9
vlc-plugin-inflate 3.0.23_2-9
vlc-plugin-journal 3.0.23_2-9
vlc-plugin-jpeg 3.0.23_2-9
vlc-plugin-lua 3.0.23_2-9
