7zip 26.02-1
egl-wayland2 1.0.1-1
egl-x11 1.0.5-1
eglexternalplatform 1.2.1-1
eigen 5.0.1-2
electron39 39.8.10-2
electron41 41.10.3-1
electron42 42.7.1-1
element-desktop 1.12.23-1
element-web 1.12.23-1
elfutils 0.195-1
elixir 1.20.2-1
ell 0.83-1
enchant 2.8.15-2
entr 5.8-1
erlang-core 29.0.1-1
erlang-eunit 29.0.1-1
erofs-utils 1.9.2-1
espeak-ng 1.52.0-1
exiv2 0.28.8-2
exo 4.20.0-2
expac 10-12
expat 2.8.2-1
extra-cmake-modules 6.28.0-1
eza 0.23.5-2
faac 1.50-1
faad2 2.11.2-1
fakeroot 1:1.37.2-2
faugus-launcher 2.0.2-1
fd 10.4.2-2
feh 3.12.2-1
ffmpeg 2:8.1.2-10
ffmpeg4.4 4.4.8-2
ffnvcodec-headers 13.0.19.0-1
fftw 3.3.11-1
figlet 2.2.5-6
file 5.48-1
filesystem 2025.10.12-1
findutils 4.11.0-1
firefox 153.0-1
firefox-tridactyl 1.24.5-1
firefox-tridactyl-native 1.24.2-2
fish 4.8.1-1
flac 1.5.0-1
flamelens 0.4.0-2
flatpak 1:1.18.0-1
flatpak-builder 1.4.10-1
flex 2.6.4-6
flip-link 0.1.12-2
fluidsynth 2.5.6-1
fmt 12.2.0-1
fontconfig 2:2.18.2-1
freeglut 3.8.0-1
freetype2 2.14.3-1
fribidi 1.0.16-2
fuse-common 3.18.2-1
fuse2 2.9.9-5
fuse3 3.18.2-1
fzf 0.74.1-1
fzy 1.1-1
gawk 5.4.1-1
gc 8.2.12-1
gcc 16.1.1+r346+g4e03491b401d-4
gcc-libs 16.1.1+r346+g4e03491b401d-4
gcc15 15.3.0+r0.g4db0e8df15be-2
gcc15-libs 15.3.0+r0.g4db0e8df15be-2
gcr 3.41.2-2
gcr-4 4.4.0.1-1
gd 2.3.3-9
gdb 17.2-1
gdb-common 17.2-1
gdb-dashboard 0.17.5-1
gdbm 1.26-2
gdk-pixbuf2 2.44.7-1
gdu 5.36.1-1
gegl 0.4.70-2
geoclue 2.8.2-1
gettext 1.0-2
gflags 2.2.2-6
gfxstream 0.1.2-2
ghostscript 10.07.1-1
ghostty 1.3.1-2
ghostty-shell-integration 1.3.1-2
ghostty-terminfo 1.3.1-2
gi-docgen 2026.1-1
giflib 6.1.3-2
gimp 3.2.4-2
girara 2026.07.18-1
git 2.55.0-1
git-branchless 0.11.1-2
git-cliff 2.13.1-1
git-delta 0.19.2-2
git-lfs 3.7.1-1
github-cli 2.96.0-1
github-copilot-cli 1.0.74-1
gitoxide 0.56.0-1
gitui 0.28.1-2
gleam 1.17.0-1
glew 2.3.1-1
glfw 1:3.4-1
glib-networking 1:2.80.1-1
