7zip 25.01-1
python-ordered-set 4.1.0-7
python-pip 25.2-1
python-pipx 1.7.1-2
python-ply 3.11-15
python-pywlroots 0.17.0-4
python-requests 2.32.4-1
python-rich 14.1.0-1
python-tomli 2.2.1-1
python-uv 0.8.11-1
python-virtualenv 20.28.0-1
pywal-git 3.3.0.r134.g236aa48-3
qalculate-qt 5.6.0-1
qbittorrent 5.1.2-1
qt5-graphicaleffects 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-wayland 5.15.17+kde+r57-1
qt5ct 1.9-1
qt6-wayland 6.9.1-1
qt6ct 0.10-4
quickshell-git 0.2.0.r0.ga5431dd-1
rate-mirrors 0.20.0-2
razer-cli 2.3.0-2
reflector 2023-3
resvg 0.45.1-2
ripgrep 14.1.1-1
rofi-wayland 1.7.9.1-1
rqbit 8.1.1-2
rqbit-desktop 8.1.1-2
ruff 0.12.9-1
rustic 0.9.5-1
rustup 1.28.2-3
s-tui 1.2.0-1
sbctl 0.17-1
sccache 0.10.0-2
scdoc 1.11.3-1
sd 1.0.0-1
sddm 0.21.0-6
sddm-sugar-dark 1.2-1
seanime-bin 2.8.4-2
sherlock-launcher-bin 0.1.14-2
slock 1.6-1
slurp 1.5.0-1
smartmontools 7.5-1
socat 1.8.0.3-2
solaar 1.1.14-2
speedtest-go 1.7.10-1
spicetify-cli 2.40.13-1
spotify 1:1.2.63.394-1
spotify-tui 0.25.0-4
spotifyd 0.4.1-1
sqlx-cli 0.8.6-1
starship 1.23.0-1
steam 1.0.0.82-2
stow 2.4.1-1
swaync 0.12.1-1
swww 0.10.3-1
systemd-ukify 257.8-2
taplo-cli 0.10.0-1
taskwarrior-tui 0.26.3-1
tcpdump 4.99.5-1
television 0.13.3-1
tenki 1.11.0-1
thunar 4.20.4-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
thunderbird 141.0-1
timeshift 25.07.5-1
tlrc 1.11.1-1
tmux 3.5_a-1
todoist-appimage 9.18.0-1
tofi 0.9.1-2
tokei 12.1.2-2
tokio-console 0.1.13-3
trashy-git 1.0.3.r48.7c48827-1
tree 2.2.1-1
tree-sitter 0.25.8-1
tree-sitter-cli 0.25.8-1
trunk 0.21.14-1
ttf-cascadia-code 2407.24-2
ttf-cascadia-code-nerd 3.4.0-1
ttf-fira-code 6.2-2
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.4.0-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-material-symbols-variable-git 4.0.0.r133.g941fa95d-1
ttf-mononoki-nerd 3.4.0-1
tumbler 4.20.0-3
ty-bin 0.0.1_alpha.18-1
typst 1:0.13.1-1
udiskie 2.5.7-1
ufw 0.36.2-5
unzip 6.0-23
usbutils 018-1
uv 0.8.11-1
uwsm 0.23.2-1
valgrind 3.25.1-3
vesktop 1.5.8-3
viewnior 1.8-6
vim 9.1.1623-1
visual-studio-code-bin 1.103.1-1
vivaldi 7.5.3735.62-1
vulkan-caps-viewer-wayland 1:4.02-1
vulkan-headers 1:1.4.321.0-1
vulkan-validation-layers 1.4.321.0-1
wallust 3.4.0-1
wasm-bindgen 0.2.100-1
waybar 0.14.0-1
waypaper 2.6-1
webapp-manager-git 1.4.2.r0.gffa3ca5-1
webkit2gtk 2.48.5-1
webkit2gtk-4.1 2.48.5-1
wev 1.1.0-1
wezterm 20240203.110809.5046fc22-2
wget 1.25.0-2
wireplumber 0.5.10-1
wl-clipboard 1:2.2.1-3
wleave 0.5.1-3
wlogout 1.2.2-0
wlr-randr 0.5.0-1
wlroots0.18 0.18.2-1
wlroots0.19 0.19.0-1
wlsunset 0.4.0-1
woff2-font-awesome 7.0.0-4
wofi 1.5.1-1
xautolock 2.2-8
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xh 0.24.1-1
xorg-font-util 1.4.1-2
xorg-xinput 1.6.4-2
yank 1.3.0-2
yay 12.5.0-1
yazi-nightly-bin 25.6.11.20250627.8ef28ec-1
youtube-music-git 3.10.0.r105.gaa0496c-1
yt-dlp 2025.07.21-1
zathura 0.5.12-1
zathura-pdf-poppler 0.3.3-5
zed 0.199.6-1
zellij 0.43.1-1
zen-browser-bin 1.14.11b-1
zig 0.14.1-2
zip 3.0-11
zls 0.14.0-2
zmk-studio-bin 0.3.1-2
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsa-keymapp-bin 1.3.7-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4202.174ce9bf-1
