7zip 25.01-1
gettext 0.26-1
ggjj 0.29.0-1
ghcup-hs-bin 0.1.50.2-1
ghostty 1.1.3-1
ghostty-shell-integration 1.1.3-1
ghostty-terminfo 1.1.3-1
giflib 5.2.2-2
gimp 3.0.4-3
girara 0.4.5-1
git 2.50.1-3
git-branchless 0.10.0-2
git-delta 0.18.2-4
github-cli 2.76.2-1
gitkraken 11.3.0-1
gitui 0.27.0-2
glaze 5.5.5-1
gleam 1.12.0-1
glew 2.2.0-7
glfw 1:3.4-1
glib-networking 1:2.80.1-1
glib2 2.84.4-2
glibc 2.42+r17+gd7274d718e6f-1
glibmm 2.66.8-1
glibmm-2.68 2.84.0-1
glow 2.1.1-1
glslang 1:1.4.321.0-1
glu 9.0.3-2
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-11
gnulib-l10n 20241231-1
gnupg 2.4.8-1
gnutls 3.8.10-1
go 2:1.24.6-1
gobject-introspection 1.84.0-2
gobject-introspection-runtime 1.84.0-2
google-breakpad v2024.02.16-1
gperftools 2.17-1
gpgme 2.0.0-1
gpgmepp 2.0.0-2
gpm 1.20.7.r38.ge82d1a6-6
gpsd 3.26.1-2
granite7 7.6.0-1
graphene 1.10.8-2
graphite 1:1.3.14-5
grep 3.12-2
grim 1.5.0-2
groff 1.23.0-7
gsettings-desktop-schemas 48.0-1
gsettings-system-schemas 48.0-1
gsm 1.0.22-2
gssdp 1.6.4-1
gst-plugin-pipewire 1:1.4.7-1
gst-plugins-bad-libs 1.26.5-1
gst-plugins-base-libs 1.26.5-1
gstreamer 1.26.5-1
gtest 1.17.0-1
gtk-layer-shell 0.9.2-1
gtk-update-icon-cache 1:4.18.6-1
gtk2 2.24.33-5
gtk3 1:3.24.50-1
gtk4 1:4.18.6-1
gtk4-layer-shell 1.1.1-1
gtkmm 1:2.24.5-5
gtkmm-4.0 4.18.0-2
gtkmm3 3.24.10-1
guile 3.0.10-1
gum 0.16.2-1
gupnp 1:1.6.9-1
gupnp-igd 1.6.0-2
gvfs 1.57.2-4
gvfs-mtp 1.57.2-4
gzip 1.14-2
harfbuzz 11.4.1-1
harfbuzz-icu 11.4.1-1
helm 3.18.4-1
hexyl 0.16.0-1
hicolor-icon-theme 0.18-1
hidapi 0.15.0-1
highway 1.3.0-1
hunspell 1.7.2-2
hwdata 0.397-1
hwloc 2.12.1-1
hyperfine 1.19.0-1
hyphen 2.8.8-6
hyprcursor-git 0.1.13.r0.g44e91d4-1
hyprgraphics-git 0.1.5.r1.g4c1d63a-1
hypridle-git 0.1.6.r11.gdda793b-1
hyprland-git 0.50.0.r90.g3d4dc19-1
hyprland-meta-git 0.0.1-5
hyprland-protocols-git 0.6.4.r1.g613878c-1
hyprland-qt-support-git 0.1.0.r9.g4c8053c-1
hyprland-qtutils-git 0.1.4.r3.gb308a81-1
hyprlang-git 0.6.4.r1.g23f0deb-1
hyprlock-git 0.9.1.r1.g347e05a-1
hyprpaper-git 0.7.5.r9.gbcb1ffa-1
hyprpicker-git 0.4.5.r8.gd6a1363-1
hyprpolkitagent-git 0.1.3.r0.g7e40544-1
hyprsunset-git 0.3.2.r0.g1f9afca-1
hyprsysteminfo-git 0.1.3.r4.gb8ee105-1
hyprutils-git 0.8.2.r2.g69efb62-1
hyprwayland-scanner-git 0.4.5.r1.gb3b0f1f-1
i2c-tools 4.4-2
iana-etc 20250612-1
icu 76.1-1
imagemagick 7.1.2.1-1
imath 3.1.12-4
iniparser 4.2.6-2
inxi 3.3.38.1-1
iperf3 3.19.1-1
iproute2 6.16.0-2
iptables 1:1.8.11-2
iputils 20250605-1
ipython 9.4.0-1
iso-codes 4.18.0-1
iwd 3.9-1
jansson 2.14.1-1
jasper 4.2.5-1
jbigkit 2.1-8
jemalloc 1:5.3.0-5
jetbrains-toolbox 2.8.1.52155-1
jj_tui 0.14.1-1
jjui-bin 0.9.1-1
jq 1.8.1-1
jqp 0.7.0-1
json-c 0.18-2
json-glib 1.10.6-1
jsoncpp 1.9.6-3
jujutsu 0.32.0-1
just 1.42.4-1
kbd 2.8.0-1
kconfig 6.17.0-1
kcoreaddons 6.17.0-1
kcrash 6.17.0-1
kdbusaddons 6.17.0-1
keepassxc 2.7.10-3
keychain 2.9.5-1
keyutils 1.6.3-3
kguiaddons 6.17.0-1
ki18n 6.17.0-1
kind 0.29.0-1
kirigami 6.17.0-1
kitty 0.42.2-1
kitty-shell-integration 0.42.2-1
kitty-terminfo 0.42.2-1
kmod 34.2-1
knotifications 6.17.0-1
krb5 1.21.3-2
kubectl 1.33.4-1
kwindowsystem 6.17.0-1
l-smash 2.14.5-4
lame 3.100-5
lapack 3.12.1-2
lazydocker 0.24.1-1
lazygit 0.54.2-1
lazyjj 0.5.0-1
lazyjournal 0.7.9-1
lcms2 2.17-1
ldns 1.8.4-1
leancrypto 1.5.1-1
lensfun 1:0.3.4-5
less 1:679-1
lib32-alsa-lib 1.2.14-1
lib32-alsa-plugins 1.2.12-1
lib32-audit 4.0.5-1
lib32-brotli 1.1.0-1
lib32-bzip2 1.0.8-4
lib32-curl 8.15.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.3-1
lib32-expat 2.7.1-1
lib32-fontconfig 2:2.17.1-1
lib32-freetype2 2.13.3-3
lib32-gcc-libs 15.2.1+r22+gc4e96a094636-1
lib32-glib2 2.84.4-2
lib32-glibc 2.42+r17+gd7274d718e6f-1
lib32-harfbuzz 11.4.1-1
lib32-icu 76.1-1
lib32-json-c 0.18-2
lib32-keyutils 1.6.3-2
lib32-krb5 1.21.3-1
lib32-libcap 2.76-1
lib32-libdrm 2.4.125-1
lib32-libelf 0.193-4
lib32-libffi 3.5.1-1
lib32-libgcrypt 1.11.1-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.55-1
lib32-libidn2 2.3.7-1
lib32-libldap 2.6.10-1
lib32-libnghttp2 1.66.0-1
lib32-libnghttp3 1.11.0-1
lib32-libnm 1.54.0-1
lib32-libnsl 2.0.1-1
lib32-libpciaccess 0.18.1-1
lib32-libpipewire 1:1.4.7-1
lib32-libpng 1.6.50-1
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-1
lib32-libtasn1 4.20.0-1
lib32-libtirpc 1.3.6-2
lib32-libunistring 1.3-1
lib32-libva 2.22.0-1
lib32-libx11 1.8.12-2
lib32-libxau 1.0.11-2
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.4.38-1
lib32-libxcrypt-compat 4.4.38-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.6-1
lib32-libxfixes 6.0.1-2
lib32-libxinerama 1.1.5-2
lib32-libxml2 2.14.5-1
lib32-libxshmfence 1.3.3-1
lib32-libxss 1.2.4-2
lib32-libxxf86vm 1.1.5-2
lib32-llvm-libs 1:20.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:25.1.7-1
lib32-ncurses 6.5-2
lib32-nspr 4.37-1
lib32-nss 3.115-1
lib32-nvidia-utils 580.76.05-1
lib32-openssl 1:3.5.2-1
lib32-p11-kit 0.25.5-1
lib32-pam 1.7.0-1
lib32-pcre2 10.45-1
lib32-pipewire 1:1.4.7-1
lib32-spirv-tools 1:1.4.321.0-1
lib32-sqlite 3.50.2-1
lib32-systemd 257.8-1
lib32-util-linux 2.41.1-1
lib32-vulkan-icd-loader 1.4.321.0-1
lib32-wayland 1.23.1-1
lib32-xz 5.8.1-1
lib32-zlib 1.3.1-2
