7zip 25.01-1
psmisc 23.7-1
pugixml 1.15-2
pyalpm 0.10.12-1
python 3.13.7-1
python-annotated-types 0.7.0-2
python-anyio 4.10.0-1
python-appdirs 1.4.4-11
python-argcomplete 3.6.2-1
python-asttokens 3.0.0-1
python-attrs 25.3.0-1
python-autocommand 2.2.2-7
python-beautifulsoup4 4.13.4-1
python-binaryornot 0.4.4-11
python-boolean.py 5.0-1
python-bowler 0.9.0-9
python-build 1.3.0-1
python-cairo 1.28.0-1
python-certifi 2025.08.03-1
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-charset-normalizer 3.4.3-1
python-click 8.2.1-1
python-click-default-group 1.2.4-3
python-colorama 0.4.6-5
python-colour 0.1.5-15
python-configobj 5.0.9-5
python-contourpy 1.3.3-1
python-convertdate 2.4.0-1
python-cryptography 45.0.5-1
python-cycler 0.12.1-3
python-daemonize 2.5.0-8
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-debian 0.1.49-6
python-decorator 5.2.1-1
python-distlib 0.3.9-2
python-distro 1.9.0-3
python-docopt 0.6.2-14
python-dotenv 1.1.1-1
python-dulwich 0.24.1-1
python-evdev 1.9.2-1
python-executing 2.2.0-1
python-fastbencode 0.3.2-1
python-filelock 3.18.0-1
python-fissix 24.4.24-1
python-fonttools 4.59.0-1
python-gobject 3.52.3-3
python-h11 0.16.0-1
python-hijridate 2.5.0-2
python-holidays 0.70-1
python-httpcore 1.0.9-2
python-httpx 0.28.1-3
python-hypothesis 6.136.2-1
python-icalendar 6.3.1-1
python-idna 3.10-2
python-imageio 2.37.0-3
python-imageio-ffmpeg 0.6.0-2
python-inflect 7.5.0-1
python-iniconfig 2.1.0-1
python-installer 0.7.0-10
python-ipython-pygments-lexers 1.1.1-1
python-jalali-core 1.0.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jdatetime 5.2.0-2
python-jedi 0.19.2-1
python-jinja 1:3.1.6-1
python-keyutils 0.6-11
python-kitchen 1.2.6-5
python-kiwisolver 1.4.7-1
python-korean_lunar_calendar 0.3.1-1
python-license-expression 30.4.4-1
python-linkify-it-py 2.0.3-5
python-mako 1.3.10-1
python-markdown 3.8.2-1
python-markdown-it-py 4.0.0-1
python-markupsafe 3.0.2-1
python-matplotlib 3.10.5-1
python-matplotlib-inline 0.1.7-2
python-mdurl 0.1.2-8
python-merge3 0.0.15-2
python-more-itertools 10.7.0-1
python-moreorless 0.5.0-1
python-nspektr 0.5.0-3
python-numpy 2.3.2-1
python-openrazer 3.10.3-1
python-ordered-set 4.1.0-7
python-packaging 25.0-1
python-parso 1:0.8.4-3
python-patiencediff 0.2.15-2
python-pefile 2024.8.26-1
python-pexpect 4.9.0-4
python-pillow 11.3.0-1
python-pip 25.2-1
python-pipx 1.7.1-2
python-platformdirs 4.3.8-1
python-pluggy 1.6.0-1
python-ply 3.11-15
python-prompt_toolkit 3.0.51-1
python-psutil 7.0.0-1
python-ptyprocess 0.7.0-8
python-pure-eval 0.2.3-2
python-pycparser 2.22-3
python-pydantic 2.11.7-1
python-pydantic-core 2:2.33.2-2
python-pydantic-settings 2.10.1-1
python-pyelftools 0.32-1
python-pygments 2.19.2-1
python-pyparsing 3.2.3-1
python-pyperclip 1.9.0-3
python-pyproject-hooks 1.2.0-3
python-pyqt6 6.9.1-1
python-pyqt6-sip 13.10.2-1
python-pyqt6-webengine 6.9.0-1
python-pytest 1:8.4.1-1
python-pytz 2025.2-1
python-pyudev 0.24.3-2
python-pywayland 0.4.18-2
python-pywlroots 0.17.0-4
python-pyxdg 0.28-4
python-requests 2.32.4-1
python-requests-file 2.1.0-2
python-rich 14.1.0-1
python-screeninfo 0.8.1-2
python-setproctitle 1.3.6-1
python-setuptools 1:80.9.0-1
python-six 1.17.0-1
python-sniffio 1.3.1-4
python-sortedcontainers 2.4.0-7
python-soupsieve 2.7-1
python-stack-data 0.6.3-4
python-taskw 2.0.0-2
python-textual 5.3.0-1
python-textual-autocomplete 4.0.4-1
python-tldextract 5.3.0-1
python-tomli 2.2.1-1
python-tomlkit 0.13.3-1
python-tqdm 4.67.1-2
python-traitlets 5.14.3-3
python-typeguard 4.4.4-1
python-typing-inspection 0.4.1-1
python-typing_extensions 4.14.1-1
python-uc-micro-py 1.0.3-3
python-urllib3 2.5.0-1
python-urwid 3.0.2-1
python-userpath 1.9.2-3
python-uv 0.8.11-1
python-vdf 4.0-2
python-virtualenv 20.28.0-1
python-volatile 2.1.0-6
python-watchfiles 1.1.0-1
python-wcwidth 0.2.13-3
python-wheel 0.45.1-1
python-xdg-base-dirs 6.0.2-1
python-xkbcommon 1.5.1-2
python-xlib 0.33-4
python-yaml 6.0.2-2
pywal-git 3.3.0.r134.g236aa48-3
qalculate-qt 5.6.0-1
qbittorrent 5.1.2-1
qemu-base 10.0.3-1
qemu-common 10.0.3-1
qemu-img 10.0.3-1
qemu-system-x86 10.0.3-1
qemu-system-x86-firmware 10.0.3-1
qhull 2020.2-5
qrencode 4.1.1-4
qt5-base 5.15.17+kde+r123-1
qt5-declarative 5.15.17+kde+r21-1
qt5-graphicaleffects 5.15.17-1
qt5-quickcontrols2 5.15.17+kde+r5-1
qt5-svg 5.15.17+kde+r5-1
qt5-tools 5.15.17+kde+r3-2
qt5-translations 5.15.17-1
qt5-wayland 5.15.17+kde+r57-1
qt5-x11extras 5.15.17-1
qt5ct 1.9-1
qt6-base 6.9.1-5
qt6-declarative 6.9.1-2
qt6-positioning 6.9.1-1
qt6-svg 6.9.1-1
qt6-tools 6.9.1-2
qt6-translations 6.9.1-1
qt6-wayland 6.9.1-1
qt6-webchannel 6.9.1-1
qt6-webengine 6.9.1-2
qt6ct 0.10-4
quickshell-git 0.2.0.r0.ga5431dd-1
raptor 2.0.16-7
rasqal 1:0.9.33-7
rate-mirrors 0.20.0-2
rav1e 0.7.1-1
razer-cli 2.3.0-2
rdma-core 59.0-1
re2 1:20240702-5
readline 8.3.001-1
redland 1:1.0.17-9
reflector 2023-3
resvg 0.45.1-2
reuse 5.0.2-2
rhash 1.4.4-1
ripgrep 14.1.1-1
rofi-wayland 1.7.9.1-1
rqbit 8.1.1-2
rqbit-desktop 8.1.1-2
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
ruff 0.12.9-1
run-parts 5.23.1-1
runc 1.3.0-1
rustic 0.9.5-1
rustup 1.28.2-3
s-tui 1.2.0-1
sbc 2.1-1
sbctl 0.17-1
sccache 0.10.0-2
scdoc 1.11.3-1
sd 1.0.0-1
sdbus-cpp 2.1.0-2
sddm 0.21.0-6
sddm-sugar-dark 1.2-1
sdl2-compat 2.32.56-2
sdl3 3.2.20-1
seabios 1.17.0-1
seanime-bin 2.8.4-2
seatd 0.9.1-1
sed 4.9-3
semver 7.7.2-1
serd 0.32.4-1
serf 1.3.10-2
shaderc 2025.3-1
shadow 4.18.0-1
shared-mime-info 2.4-2
sherlock-launcher-bin 0.1.14-2
slang 2.3.3-4
slock 1.6-1
slurp 1.5.0-1
smartmontools 7.5-1
snappy 1.2.2-2
sndio 1.10.0-1
socat 1.8.0.3-2
solaar 1.1.14-2
sord 0.16.18-1
sound-theme-freedesktop 0.8-6
source-highlight 3.1.9-15
spdlog 1.15.3-1
speedtest-go 1.7.10-1
speex 1.2.1-2
speexdsp 1.2.1-2
spicetify-cli 2.40.13-1
spirv-tools 1:1.4.321.0-1
spotify 1:1.2.63.394-1
spotify-tui 0.25.0-4
spotifyd 0.4.1-1
sqlite 3.50.4-1
sqlx-cli 0.8.6-1
squashfuse 0.6.1-1
sratom 0.6.18-1
srt 1.5.4-1
starship 1.23.0-1
startup-notification 0.12-8
steam 1.0.0.82-2
stow 2.4.1-1
stress 1.0.7-3
subversion 1.14.5-4
sudo 1.9.17.p1-1
suitesparse 7.11.0-1
svt-av1 3.1.0-1
swaync 0.12.1-1
swww 0.10.3-1
systemd 257.8-2
systemd-libs 257.8-2
systemd-sysvcompat 257.8-2
systemd-ukify 257.8-2
taplo-cli 0.10.0-1
tar 1.35-2
task 3.4.1-1
taskwarrior-tui 0.26.3-1
tcpdump 4.99.5-1
tdb 1.4.14-1
television 0.13.3-1
tenki 1.11.0-1
texinfo 7.2-1
thin-provisioning-tools 1.2.0-1
thunar 4.20.4-1
thunar-archive-plugin 0.6.0-1
thunar-volman 4.20.0-2
thunderbird 141.0-1
timeshift 25.07.5-1
tinysparql 3.9.2-2
tinyxml2 11.0.0-1
tlrc 1.11.1-1
tmux 3.5_a-1
todoist-appimage 9.18.0-1
tofi 0.9.1-2
tokei 12.1.2-2
tokio-console 0.1.13-3
tomlplusplus 3.4.0-1
tpm2-tss 4.1.3-1
trashy-git 1.0.3.r48.7c48827-1
tree 2.2.1-1
tree-sitter 0.25.8-1
tree-sitter-c 0.24.1-1
tree-sitter-cli 0.25.8-1
tree-sitter-lua 0.4.0-1
tree-sitter-markdown 0.5.0-1
tree-sitter-query 0.6.2-1
tree-sitter-vim 0.7.0-1
tree-sitter-vimdoc 4.0.0-1
trunk 0.21.14-1
tslib 1.23-1
ttf-cascadia-code 2407.24-2
ttf-cascadia-code-nerd 3.4.0-1
ttf-fira-code 6.2-2
ttf-fira-sans 1:4.301-2
ttf-firacode-nerd 3.4.0-1
ttf-jetbrains-mono 2.304-2
ttf-jetbrains-mono-nerd 3.4.0-1
ttf-liberation 2.1.5-2
ttf-material-symbols-variable-git 4.0.0.r133.g941fa95d-1
ttf-mononoki-nerd 3.4.0-1
ttf-nerd-fonts-symbols 3.4.0-1
ttf-nerd-fonts-symbols-common 3.4.0-1
ttf-roboto 3.011-1
tumbler 4.20.0-3
twolame 0.4.0-4
ty-bin 0.0.1_alpha.18-1
typst 1:0.13.1-1
tzdata 2025b-1
uchardet 0.0.8-3
udiskie 2.5.7-1
udisks2 2.10.1-6
ufw 0.36.2-5
unibilium 2.1.2-1
unzip 6.0-23
upower 1.90.9-1
usbmuxd 1.1.1-4
usbutils 018-1
util-linux 2.41.1-1
util-linux-libs 2.41.1-1
uv 0.8.11-1
uwsm 0.23.2-1
v4l-utils 1.30.1-1
valgrind 3.25.1-3
vapoursynth 72-1
vde2 2.3.3-8
vesktop 1.5.8-3
vid.stab 1.1.1-2
viewnior 1.8-6
vim 9.1.1623-1
vim-runtime 9.1.1623-1
virtiofsd 1.13.2-1
visual-studio-code-bin 1.103.1-1
vivaldi 7.5.3735.62-1
vmaf 3.0.0-1
volume_key 0.3.12-11
vte-common 0.80.3-1
vte3 0.80.3-1
vulkan-caps-viewer-wayland 1:4.02-1
vulkan-headers 1:1.4.321.0-1
vulkan-icd-loader 1.4.321.0-1
vulkan-tools 1.4.321.0-1
vulkan-validation-layers 1.4.321.0-1
w3m 0.5.3.git20230713_1-1
wallust 3.4.0-1
wasm-bindgen 0.2.100-1
wavpack 5.8.1-1
waybar 0.14.0-1
wayland 1.24.0-1
wayland-protocols 1.45-1
waypaper 2.6-1
webapp-manager-git 1.4.2.r0.gffa3ca5-1
webkit2gtk 2.48.5-1
webkit2gtk-4.1 2.48.5-1
webrtc-audio-processing-1 1.3-5
wev 1.1.0-1
wezterm 20240203.110809.5046fc22-2
wget 1.25.0-2
which 2.23-1
wildmidi 0.4.6-1
wine 10.12-1
winetricks 20250102-1
wireplumber 0.5.10-1
wl-clipboard 1:2.2.1-3
wleave 0.5.1-3
wlogout 1.2.2-0
wlr-randr 0.5.0-1
wlroots0.17 0.17.4-3
wlroots0.18 0.18.2-1
wlroots0.19 0.19.0-1
wlsunset 0.4.0-1
woff2 1.0.2-6
woff2-font-awesome 7.0.0-4
wofi 1.5.1-1
wolfssl 5.8.2-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-3
x265 4.1-1
xapp 2.8.9-1
xautolock 2.2-8
xautomation 1.09-6
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-errors 1.0.1-2
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xcur2png 0.7.1-8
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.3-1
xdg-desktop-portal-gtk 1.15.3-1
xdg-desktop-portal-hyprland-git 1.3.10.r2.ga10726d-1
xdg-desktop-portal-wlr 0.7.1-1
xdg-user-dirs 0.18-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xfconf 4.20.0-2
xh 0.24.1-1
xkeyboard-config 2.45-1
xmlsec 1.3.7-2
xorg-font-util 1.4.1-2
xorg-fonts-encodings 1.1.0-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-setxkbmap 1.3.4-2
xorg-xauth 1.1.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xset 1.2.5-2
xorg-xwayland-hidpi-xprop 24.1.8-1
xorgproto 2024.1-2
xsel 1.2.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.1-1
yank 1.3.0-2
yay 12.5.0-1
yazi-nightly-bin 25.6.11.20250627.8ef28ec-1
youtube-music-git 3.10.0.r105.gaa0496c-1
yt-dlp 2025.07.21-1
yyjson 0.11.1-1
zathura 0.5.12-1
zathura-pdf-poppler 0.3.3-5
zed 0.199.6-1
zellij 0.43.1-1
zen-browser-bin 1.14.11b-1
zenity 4.1.99-2
zeromq 4.3.5-2
zig 0.14.1-2
zimg 3.0.5-1
zip 3.0-11
zix 0.6.2-1
zlib 1:1.3.1-2
zlib-ng 2.2.5-1
zls 0.14.0-2
zmk-studio-bin 0.3.1-2
zoxide 0.9.8-2
zram-generator 1.2.1-1
zsa-keymapp-bin 1.3.7-1
zsa-udev 2.1.3.r14.gbceec97-1
zsh 5.9-5
zsh-theme-powerlevel10k-git r4202.174ce9bf-1
zstd 1.5.7-2
zxing-cpp 2.3.0-5
zziplib 0.13.80-1
